sigla,prcFlcn,closPric,dtTm
BKNG34,1.1885780547905493,349.05,16:53:00
BRAP4,0.24826216484607747,40.38,18:08:00
BRKM3,-2.2892238972640984,35,18:00:00
BRPR3,-0.1910828025477707,15.67,18:07:00
BRKM5,-1.8967026553837176,33.62,18:09:00
BBRK3,0.7272727272727273,5.54,18:06:00
BCIA11,2.220689655172414,296.44,18:00:00
BZLI11,1.935483870967742,15.8,17:51:00
AGRO3,-1.5255905511811023,20.01,18:09:00
CARE11,-3.2,1.21,18:05:00
TFOF11,0.57850719989939,159.95,17:21:00
HMOC11,4.317468187076516,252.49,17:04:00
HPDP11,0,122,10:33:00
HFOF11,-0.3293172690763052,124.09,18:07:00
HETA4,2.9896907216494846,9.99,14:13:00
HBOR3,-3.4274193548387095,4.79,18:08:00
CTKA4,-5.359116022099448,17.13,17:30:00
CTKA3,-15.666666666666666,15.18,17:49:00
KEPL3,0.6581112207963146,30.59,18:06:00
KNHY11,-1.1335012594458438,117.75,17:45:00
KNRE11,0.8103727714748784,6.22,17:52:00
KNIP11,0.6711409395973155,120,18:00:00
KLBN3,-0.2304147465437788,4.33,18:07:00
KLBN11,-2.1347248576850095,20.63,18:08:00
KLBN4,-3.1325301204819276,4.02,18:13:00
ELET3,-0.45569620253164556,39.32,18:07:00
ELET6,-0.32378580323785805,40.02,18:08:00
CCXC3,-17.985611510791365,1.14,18:10:00
CCRO3,-2.1152829190904283,18.51,18:08:00
KNRI11,-1.1816999132697312,182.3,18:07:00
KNCR11,-0.4950957496496964,106.52,18:06:00
CATP34,-0.5173034737910487,607.7,16:52:00
RANI3,-1.1961722488038278,4.13,18:00:00
RANI4,0.4728132387706856,4.25,17:42:00
CEAB3,0.2915451895043732,17.2,18:08:00
CLSC4,-1.1299435028248588,52.5,18:05:00
CESP3,0.2536461636017755,31.62,18:07:00
CESP6,-0.7846829880728186,31.61,18:09:00
CHCM34,2.147477360931436,434.28,16:53:00
AALR3,-0.5491990846681922,21.73,18:10:00
CHVX34,0.9634551495016611,243.12,18:00:00
BPFF11,-0.07015355834437602,128.2,18:00:00
BPML11,2.35,122.82,17:24:00
CXCE11B,-0.17857142857142858,2795,16:43:00
CTXT11,-1.639344262295082,60,17:54:00
EDFO11B,-0.0035714285714285713,279.99,17:22:00
EURO11,-0.09433962264150944,211.8,17:09:00
FLMA11,-4.318181818181818,4.21,18:07:00
FIIB11,0.5982905982905983,588.5,18:05:00
HBTT11,-5.128205128205129,1850,14:25:00
FIGS11,-0.15023071144972636,93.05,18:05:00
GTWR11,0.540765391014975,120.85,18:00:00
ABCP11,-0.009157509157509158,109.19,18:00:00
HUSC11,2.948717948717949,160.6,16:07:00
MBRF11,1.0008833470823995,1383.5,18:05:00
JBDU4,-0.45045045045045046,2.21,18:05:00
JBDU3,-5.135135135135135,3.51,18:00:00
MGFF11,1.0206663854913538,119.76,18:07:00
INEP4,0.40816326530612246,9.84,17:45:00
INEP3,-1.0204081632653061,9.7,18:05:00
ITLC34,0.5168484453849911,246.99,16:37:00
BICR11,-0.5472550382209868,114.49,18:05:00
ROMI3,-2.96655879180151,17.99,18:09:00
